2016-05-17 15:28:14,346 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.aem.eaga:eagaproject:1.0-SNAPSHOT @ D:\Aga\eagaproject\pom.xml.
2016-05-17 15:28:14,393 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: com.aem.eaga:eagaproject-bundle:1.0-SNAPSHOT @ D:\Aga\eagaproject\bundle\pom.xml.
2016-05-17 15:28:14,527 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
2016-05-17 15:28:14,551 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
2016-05-17 15:28:14,562 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
2016-05-17 15:28:14,575 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: com.aem.eaga:eagaproject-content:1.0-SNAPSHOT @ D:\Aga\eagaproject\content\pom.xml.
2016-05-17 15:28:14,952 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 3 project(s) in 1 sec
2016-05-17 15:28:15,571 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
2016-05-17 15:28:15,582 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
2016-05-17 15:28:15,593 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from https://vodafone-nexus.no-ip.net/content/groups/vodafone-group was cached in the local repository, resolution will not be reattempted until the update interval of internal.mirror has elapsed or updates are forced. Original error: Could not transfer metadata org.apache.maven.plugins:maven-site-plugin/maven-metadata.xml from/to internal.mirror (https://vodafone-nexus.no-ip.net/content/groups/vodafone-group): sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target
